pokemon_id,move_id
1,14
1,15
1,22
1,33
1,34
1,36
1,38
1,45
1,72
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,92
1,99
1,102
1,104
1,115
1,117
1,156
1,164
1,14
1,15
1,22
1,33
1,34
1,36
1,38
1,45
1,72
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,92
1,99
1,102
1,104
1,115
1,117
1,156
1,164
1,13
1,15
1,22
1,29
1,33
1,45
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,80
1,92
1,104
1,111
1,113
1,130
1,148
1,156
1,173
1,174
1,182
1,189
1,202
1,203
1,204
1,207
1,210
1,213
1,214
1,216
1,218
1,219
1,230
1,230
1,235
1,237
1,241
1,13
1,15
1,22
1,29
1,33
1,45
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,80
1,92
1,104
1,111
1,113
1,130
1,148
1,156
1,173
1,174
1,182
1,189
1,202
1,203
1,207
1,210
1,213
1,214
1,216
1,218
1,219
1,230
1,230
1,235
1,237
1,241
1,15
1,22
1,33
1,45
1,70
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,80
1,92
1,104
1,113
1,130
1,148
1,156
1,174
1,182
1,188
1,202
1,204
1,213
1,216
1,218
1,219
1,230
1,235
1,237
1,241
1,249
1,263
1,290
1,320
1,331
1,345
1,14
1,15
1,22
1,33
1,34
1,38
1,45
1,70
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,80
1,92
1,102
1,104
1,111
1,113
1,130
1,148
1,156
1,164
1,173
1,174
1,182
1,188
1,189
1,202
1,203
1,204
1,207
1,210
1,213
1,214
1,216
1,218
1,219
1,230
1,235
1,237
1,241
1,249
1,263
1,290
1,320
1,331
1,345
1,14
1,15
1,22
1,33
1,34
1,38
1,45
1,70
1,73
1,74
1,75
1,76
1,76
1,77
1,79
1,80
1,92
1,102
1,104
1,113
1,130
1,148
1,156
1,164
1,174
1,182
1,188
1,202
1,204
1,213
1,216
1,218
1,219
1,230
1,235
1,237
1,241
1,249
1,263
1,290
1,320
1,331
1,345
1,14
1,15
1,22
1,33
1,36
1,38
1,45
1,70
1,73
1,74
1,75
1,76
1,77
1,79
1,80
1,92
1,104
1,113
1,130
1,133
1,148
1,156
1,164
1,174
1,182
1,188
1,202
1,203
1,204
1,207
1,213
1,214
1,216
1,218
1,219
